GC_Run ,Date,Plot,Treatment,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
,5-Jun-24,12,1,0,36.6,0.683492752,0.1646,,,2.29,,,,0.23,,,,,,
,5-Jun-24,12,1,21,39.7,0.683492752,0.1646,,,2.69,,,,0.25,,,,,,
,5-Jun-24,12,1,42,42.3,0.683492752,0.1646,,,2.98,,,,0.23,,,,,,
,5-Jun-24,12,1,63,41.6,0.683492752,0.1646,,,3.21,,,,0.24,,,,,,
,5-Jun-24,22,2,0,36.5,0.683492752,0.1686,,,2.23,,,,0.25,,,,,,
,5-Jun-24,22,2,21,37.6,0.683492752,0.1686,,,2.7,,,,0.24,,,,,,
,5-Jun-24,22,2,42,38.6,0.683492752,0.1686,,,3.07,,,,0.23,,,,,,
,5-Jun-24,22,2,63,39,0.683492752,0.1686,,,3.53,,,,0.23,,,,,,
,5-Jun-24,32,3,0,35.1,0.683492752,0.17635,,,2.28,,,,0.25,,,,,,
,5-Jun-24,32,3,21,36.5,0.683492752,0.17635,,,2.68,,,,0.24,,,,,,
,5-Jun-24,32,3,42,37.5,0.683492752,0.17635,,,3.21,,,,0.22,,,,,,
,5-Jun-24,32,3,63,38.3,0.683492752,0.17635,,,3.66,,,,0.22,,,,,,
,5-Jun-24,42,4,0,33.2,0.683492752,0.17485,,,2.3,,,,0.24,,,,,,
,5-Jun-24,42,4,21,37.5,0.683492752,0.17485,,,2.85,,,,0.24,,,,,,
,5-Jun-24,42,4,42,39.8,0.683492752,0.17485,,,3.63,,,,0.24,,,,,,
,5-Jun-24,42,4,63,39.9,0.683492752,0.17485,,,4.31,,,,0.24,,,,,,
,5-Jun-24,14,1,0,37.1,0.683492752,0.1386,,,2.71,,,,0.22,,,,,,
,5-Jun-24,14,1,21,39.4,0.683492752,0.1386,,,7.72,,,,0.23,,,,,,
,5-Jun-24,14,1,42,39.8,0.683492752,0.1386,,,13.69,,,,0.23,,,,,,
,5-Jun-24,14,1,63,39.8,0.683492752,0.1386,,,17.67,,,,0.24,,,,,,
,5-Jun-24,24,2,0,34.4,0.683492752,0.1436,,,2.33,,,,0.23,,,,,,
,5-Jun-24,24,2,21,36,0.683492752,0.1436,,,4.01,,,,0.23,,,,,,
,5-Jun-24,24,2,42,38.3,0.683492752,0.1436,,,5.57,,,,0.24,,,,,,
,5-Jun-24,24,2,63,38.5,0.683492752,0.1436,,,7.14,,,,0.24,,,,,,
,5-Jun-24,34,3,0,32.5,0.683492752,0.17385,,,2.39,,,,0.25,,,,,,
,5-Jun-24,34,3,21,37.8,0.683492752,0.17385,,,5.34,,,,0.24,,,,,,
,5-Jun-24,34,3,42,38.6,0.683492752,0.17385,,,7.71,,,,0.24,,,,,,
,5-Jun-24,34,3,63,38.8,0.683492752,0.17385,,,10.25,,,,0.23,,,,,,
,5-Jun-24,44,4,0,37.5,0.683492752,0.1836,,,2.31,,,,0.24,,,,,,
,5-Jun-24,44,4,21,37.9,0.683492752,0.1836,,,5.33,,,,0.24,,,,,,
,5-Jun-24,44,4,42,38,0.683492752,0.1836,,,8.32,,,,0.24,,,,,,
,5-Jun-24,44,4,63,39,0.683492752,0.1836,,,11.36,,,,0.25,,,,,,
,5-Jun-24,11,1,0,36.6,0.683492752,0.1836,,,3.95,,,,0.24,,,,,,
,5-Jun-24,11,1,21,38.6,0.683492752,0.1836,,,17.62,,,,0.23,,,,,,
,5-Jun-24,11,1,42,39.9,0.683492752,0.1836,,,34.21,,,,0.25,,,,,,
,5-Jun-24,11,1,63,39.6,0.683492752,0.1836,,,55.12,,,,0.25,,,,,,
,5-Jun-24,21,2,0,36.1,0.683492752,0.1886,,,2.52,,,,0.23,,,,,,
,5-Jun-24,21,2,21,38.7,0.683492752,0.1886,,,7.22,,,,0.25,,,,,,
,5-Jun-24,21,2,42,39.2,0.683492752,0.1886,,,10.25,,,,0.25,,,,,,
,5-Jun-24,21,2,63,40.3,0.683492752,0.1886,,,16.71,,,,0.24,,,,,,
,5-Jun-24,31,3,0,36.4,0.683492752,0.2256,,,4.88,,,,0.23,,,,,,
,5-Jun-24,31,3,21,39.1,0.683492752,0.2256,,,15.12,,,,0.24,,,,,,
,5-Jun-24,31,3,42,39.8,0.683492752,0.2256,,,26.16,,,,0.23,,,,,,
,5-Jun-24,31,3,63,39.7,0.683492752,0.2256,,,49.04,,,,0.25,,,,,,
,5-Jun-24,41,4,0,35,0.683492752,0.2146,,,2.38,,,,0.24,,,,,,
,5-Jun-24,41,4,21,38.2,0.683492752,0.2146,,,3.09,,,,0.24,,,,,,
,5-Jun-24,41,4,42,38.7,0.683492752,0.2146,,,5.09,,,,0.24,,,,,,
,5-Jun-24,41,4,63,39.6,0.683492752,0.2146,,,6.09,,,,0.24,,,,,,
